cnty_fips,display_name,poverty_perc,median_household_income,education_less_than_high_school_percent,air_quality,park_access,percent_inactive,percent_smoking,urban_rural_status,elderly_percentage,number_of_hospitals,number_of_primary_care_physicians,percent_no_health_insurance,percent_high_blood_pressure,percent_coronary_heart_disease,percent_stroke,percent_high_cholesterol,county,state
2013,"""Aleutians East, (AK)""",15.1,79000.0,13.4,,66.0,21.5,18.5,Rural,8.8,0,,23.3,34.1,5.9,3.1,31.2,Aleutians East,AK
2016,"""Aleutians West, (AK)""",8.1,92000.0,8.2,,86.0,20.0,16.7,Rural,5.8,0,2.8,17.7,30.3,4.6,2.3,30.3,Aleutians West,AK
2020,"""Anchorage, (AK)""",8.3,85000.0,6.0,6.4,83.0,17.9,15.7,Small City,10.0,4,0.8,11.1,28.8,4.9,2.5,29.4,Anchorage,AK
2050,"""Bethel, (AK)""",25.3,52000.0,16.5,,76.0,22.0,34.0,Rural,7.1,1,0.9,16.8,36.2,8.1,5.1,28.7,Bethel,AK
2060,"""Bristol Bay, (AK)""",10.7,87000.0,6.2,,30.0,20.9,17.8,Rural,9.6,0,,15.1,33.6,7.5,3.7,32.3,Bristol Bay,AK
2068,"""Denali, (AK)""",6.4,80000.0,2.3,,59.0,16.7,17.4,Rural,7.3,0,,11.5,30.9,5.7,2.7,30.9,Denali,AK
2070,"""Dillingham, (AK)""",18.7,72000.0,13.5,,37.0,22.6,28.4,Rural,8.6,0,0.4,15.5,35.1,7.7,4.5,29.3,Dillingham,AK
2090,"""Fairbanks North Star, (AK)""",7.2,77000.0,5.5,13.9,36.0,20.4,15.7,Small City,9.2,2,1.1,11.3,28.0,4.7,2.3,27.5,Fairbanks North Star,AK
2100,"""Haines, (AK)""",9.6,105000.0,2.0,,90.0,16.8,17.1,Rural,24.4,0,0.4,12.6,36.7,8.2,3.8,34.5,Haines,AK
2105,"""Hoonah-Angoon, (AK)""",12.7,56000.0,6.0,,97.0,19.8,20.5,Rural,19.5,0,,20.0,40.9,9.7,4.7,35.8,Hoonah-Angoon,AK
2110,"""Juneau, (AK)""",8.1,89000.0,3.8,6.5,94.0,14.1,14.8,Rural,12.0,1,0.8,11.4,29.7,5.5,2.6,31.3,Juneau,AK
2122,"""Kenai Peninsula, (AK)""",10.6,68000.0,7.0,,52.0,20.4,18.5,Rural,15.6,3,1.3,13.8,35.9,7.4,3.4,34.0,Kenai Peninsula,AK
2130,"""Ketchikan Gateway, (AK)""",8.3,77000.0,6.1,,65.0,19.9,16.8,Rural,14.1,1,0.9,13.5,33.7,6.5,3.1,31.4,Ketchikan Gateway,AK
2150,"""Kodiak Island, (AK)""",7.5,72000.0,10.4,,34.0,23.7,16.4,Rural,9.1,1,0.8,18.2,28.9,5.1,2.5,30.0,Kodiak Island,AK
