county,state,poverty_perc,percent_high_cholesterol
Aleutians East,AK,15.1,31.2
Aleutians West,AK,8.1,30.3
Anchorage,AK,8.3,29.4
Bethel,AK,25.3,28.7
Bristol Bay,AK,10.7,32.3
Denali,AK,6.4,30.9
Dillingham,AK,18.7,29.3
Fairbanks North Star,AK,7.2,27.5
Haines,AK,9.6,34.5
Hoonah-Angoon,AK,12.7,35.8
Juneau,AK,8.1,31.3
Kenai Peninsula,AK,10.6,34.0
Ketchikan Gateway,AK,8.3,31.4
Kodiak Island,AK,7.5,30.0
Lake and Peninsula,AK,17.6,31.7
Matanuska-Susitna,AK,8.7,31.9
Nome,AK,18.8,28.8
North Slope,AK,11.1,29.6
Northwest Arctic,AK,18.5,28.8
Petersburg,AK,7.4,34.8
Prince of Wales-Hyder,AK,15.9,35.0
Sitka,AK,7.4,31.1
Skagway,AK,3.8,30.8
Southeast Fairbanks,AK,11.7,33.5
Kusilvak,AK,27.9,28.4
Wrangell,AK,10.6,37.3
Yakutat,AK,12.4,34.0
Yukon-Koyukuk,AK,20.5,32.4
Alameda,CA,8.6,28.8
Amador,CA,10.3,35.2
Butte,CA,17.3,29.9
Calaveras,CA,11.6,36.1
Colusa,CA,10.3,29.8
Contra Costa,CA,7.2,29.2
Del Norte,CA,18.5,32.5
El Dorado,CA,8.4,32.9
Glenn,CA,12.4,30.9
Humboldt,CA,15.8,30.2
Kings,CA,14.5,27.7
Lake,CA,15.9,34.1
Lassen,CA,15.5,29.6
Marin,CA,6.0,31.8
Mariposa,CA,13.3,36.8
Mendocino,CA,14.3,31.9
Merced,CA,16.3,28.7
Modoc,CA,17.9,36.7
Monterey,CA,11.6,27.7
Napa,CA,7.9,30.9
Nevada,CA,9.2,36.9
Placer,CA,6.5,33.1
Plumas,CA,13.5,36.8
Sacramento,CA,12.5,28.5
San Benito,CA,7.9,29.1
San Francisco,CA,10.0,28.0
San Joaquin,CA,13.9,30.1
San Luis Obispo,CA,10.6,31.0
San Mateo,CA,5.5,31.3
Santa Barbara,CA,10.5,28.2
Santa Clara,CA,6.6,26.9
Santa Cruz,CA,10.7,29.0
Shasta,CA,13.9,32.9
Sierra,CA,11.5,39.2
Siskiyou,CA,14.3,35.9
Solano,CA,9.3,29.5
Sonoma,CA,7.8,29.8
Stanislaus,CA,13.0,30.5
Sutter,CA,11.5,31.1
Tehama,CA,13.3,32.8
Trinity,CA,18.0,38.1
Tuolumne,CA,12.1,35.5
Yolo,CA,14.8,25.5
Yuba,CA,16.3,29.5
Hawaii,HI,12.2,29.8
Honolulu,HI,8.0,30.7
Kauai,HI,9.9,29.1
Maui,HI,9.5,27.3
Benton,OR,15.7,26.3
Clackamas,OR,6.8,31.2
Clatsop,OR,10.5,32.3
Columbia,OR,9.2,31.7
Coos,OR,15.4,36.4
Crook,OR,10.3,34.3
Curry,OR,14.5,36.8
Deschutes,OR,8.1,32.1
Douglas,OR,13.3,35.3
Gilliam,OR,10.7,35.6
Hood River,OR,8.5,28.2
Jackson,OR,11.9,34.2
Jefferson,OR,12.5,32.0
Josephine,OR,15.8,36.0
Klamath,OR,19.7,33.3
Lake,OR,15.7,35.0
Lane,OR,14.5,30.4
Lincoln,OR,14.4,34.2
Linn,OR,11.3,28.7
Marion,OR,12.1,27.2
Multnomah,OR,11.2,27.0
Polk,OR,11.1,28.7
Sherman,OR,11.9,34.4
Tillamook,OR,10.8,33.3
Wasco,OR,12.4,31.7
Washington,OR,7.5,26.9
Wheeler,OR,14.0,38.4
Yamhill,OR,8.7,29.9
Chelan,WA,8.3,31.7
Clallam,WA,13.3,36.7
Clark,WA,8.7,30.5
Cowlitz,WA,11.9,34.0
Grays Harbor,WA,15.1,37.5
Island,WA,6.5,33.1
Jefferson,WA,10.6,38.4
King,WA,7.6,29.1
Kitsap,WA,8.3,32.4
Kittitas,WA,12.9,27.1
Klickitat,WA,14.0,34.7
Lewis,WA,13.3,36.5
Mason,WA,12.6,36.1
Okanogan,WA,19.8,32.7
Pacific,WA,13.6,39.4
Pierce,WA,8.7,33.5
San Juan,WA,9.6,37.2
Skagit,WA,9.5,34.6
Skamania,WA,10.6,34.4
Snohomish,WA,7.1,29.5
Thurston,WA,9.7,32.0
Wahkiakum,WA,10.7,40.4
Whatcom,WA,11.7,30.8
Yakima,WA,14.8,30.4
Apache,AZ,32.4,31.0
Cochise,AZ,14.6,34.5
Coconino,AZ,17.2,26.8
Gila,AZ,16.7,37.5
Graham,AZ,15.2,29.8
Greenlee,AZ,8.4,31.4
La Paz,AZ,20.8,39.1
Maricopa,AZ,11.6,31.2
Mohave,AZ,15.3,38.4
Navajo,AZ,23.3,34.8
Pima,AZ,14.9,32.5
Pinal,AZ,11.1,33.6
Santa Cruz,AZ,16.8,34.3
Yavapai,AZ,10.8,37.2
Yuma,AZ,15.2,34.2
Alpine,CA,14.3,35.4
Fresno,CA,17.1,29.0
Imperial,CA,18.1,31.2
Inyo,CA,10.9,33.7
Kern,CA,18.3,29.6
Los Angeles,CA,13.2,28.6
Madera,CA,14.1,30.0
Mono,CA,9.0,30.5
Orange,CA,9.0,32.0
Riverside,CA,11.2,30.8
San Bernardino,CA,14.3,29.9
San Diego,CA,9.5,28.6
Tulare,CA,17.1,29.6
Ventura,CA,9.1,31.9
Archuleta,CO,9.4,34.9
Delta,CO,12.1,34.9
Dolores,CO,12.5,35.1
Garfield,CO,6.7,28.5
Gunnison,CO,9.6,25.9
Hinsdale,CO,7.2,35.8
La Plata,CO,10.0,28.5
Mesa,CO,11.1,30.5
Mineral,CO,8.7,35.7
Moffat,CO,9.9,31.1
Montezuma,CO,12.9,33.4
Montrose,CO,10.4,32.8
Ouray,CO,6.7,35.1
Pitkin,CO,6.4,30.5
Rio Blanco,CO,9.8,30.5
Routt,CO,6.3,29.9
San Juan,CO,11.3,34.7
San Miguel,CO,7.6,29.7
Ada,ID,7.7,30.0
Bannock,ID,12.2,29.6
Bear Lake,ID,9.5,32.5
Bingham,ID,11.1,30.9
Blaine,ID,6.9,31.9
Boise,ID,11.5,36.7
Bonneville,ID,9.7,29.5
Butte,ID,14.2,34.7
Camas,ID,8.3,35.8
Canyon,ID,10.6,32.0
Caribou,ID,7.9,32.8
Cassia,ID,10.1,30.1
Clark,ID,11.6,31.7
Custer,ID,12.7,39.4
Elmore,ID,11.7,29.6
Franklin,ID,7.7,31.4
Fremont,ID,12.6,32.2
Gem,ID,11.0,33.8
Gooding,ID,11.2,31.4
Jefferson,ID,8.5,28.2
Jerome,ID,12.3,28.5
Lincoln,ID,11.4,30.1
Madison,ID,14.3,20.6
Minidoka,ID,14.0,31.5
Oneida,ID,9.7,35.6
Owyhee,ID,13.6,32.1
Payette,ID,11.5,32.1
Power,ID,12.4,30.8
Teton,ID,7.4,28.3
Twin Falls,ID,11.1,29.2
Washington,ID,14.2,35.4
Churchill,NV,10.3,33.9
Clark,NV,13.2,31.8
Douglas,NV,8.0,36.3
Elko,NV,11.2,29.1
Esmeralda,NV,14.4,39.7
Eureka,NV,10.3,34.7
Humboldt,NV,9.8,32.1
Lander,NV,9.4,33.6
Lincoln,NV,13.2,34.7
Lyon,NV,10.1,35.8
Mineral,NV,15.4,37.3
Nye,NV,14.2,40.6
Pershing,NV,18.1,32.8
Storey,NV,7.8,38.5
Washoe,NV,10.2,34.0
White Pine,NV,12.3,32.2
